smiles,class_label,pPot_diff,target_pair,cid
CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,0,0.20000000000000018,P42336_P48736,64
CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4ccc(Cl)c(S(=O)(=O)N(C)C)c4)n3)ccn2)cc1,0,0.21000000000000085,P42336_P48736,1679
O=c1cc(N2CCOCC2)oc2c(-c3ccco3)csc12,0,0.8799999999999999,P42336_P48736,1680
COc1ccc(Nc2ncncc2-c2nc(C)nc(N)n2)cn1,0,0.09999999999999964,P42336_P48736,66
Cc1nc(NCC#N)nc(-n2c(Nc3ccn[nH]3)nc3ccccc32)n1,0,0.23000000000000043,P42336_P48736,68
Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1,0,0.25,P42336_P48736,1681
Nc1nc2cc(-c3nn(CC4CCCC4)c4ncnc(N)c34)ccc2o1,0,0.16000000000000014,P42336_P48736,70
Cn1c(CC(=O)N2CCc3ccccc32)nc(N2CCOCC2)cc1=O,0,0.3600000000000003,P42336_P48736,1682
Cc1ccn(-c2nc(-c3cc(S(=O)(=O)NCC(C)(C)O)ccc3C)cnc2N)n1,0,0.9700000000000006,P42336_P48736,1683
Cc1nc(N)nc(N2CCCC2c2nc3cccc(-c4cccnc4)c3c(=O)n2-c2ccccc2)c1C#N,0,0.2599999999999998,P42336_P48736,1080
NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(Br)cccc21,0,0.5800000000000001,P42336_P48736,1684
N#CCc1ccc(Nc2ncnc3ccc(-c4cccc([N+](=O)[O-])c4)cc23)cc1,0,0.27999999999999936,P42336_P48736,1685
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(Cl)cc1,0,0.34999999999999964,P42336_P48736,73
CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,0,0.5999999999999996,P42336_P48736,74
CS(=O)(=O)Nc1cc(-c2ccc3cn[nH]c3c2)cnc1Cl,0,0.39999999999999947,P42336_P48736,1083
Cc1c(Cn2ccn3c(=O)cc(N4CCOC(C)C4)nc23)cccc1C(F)(F)F,0,0.3200000000000003,P42336_P48736,1686
CN(C)CC1CCN(C(=O)Nc2nc3c(s2)-c2nc(C(C)(C)C)ncc2CC3)C1C(N)=O,1,2.1400000000000006,P42336_P48736,1687
CC(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,0,0.2999999999999998,P42336_P48736,1688
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#CC3CC3)c2c(=O)n1C1CC1,0,0.15000000000000036,P42336_P48736,77
CC(C)C#Cc1cccc2cc(C(C)NC(=O)c3c(N)nn4cccnc34)n(-c3ccccc3)c(=O)c12,0,0.15000000000000036,P42336_P48736,78
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cncs3)c2c(=O)n1-c1ccccc1,0,0.3199999999999994,P42336_P48736,79
CSc1nn2c(=O)cc(N3CCOCC3)nc2n1Cc1cccc(C(F)(F)F)c1C,0,0.6000000000000005,P42336_P48736,1689
CN(C)C(=O)C=Cc1cnc2oc3c(N4CCOCC4)nc(-c4cccc5[nH]ccc45)nc3c2c1,0,0.8700000000000001,P42336_P48736,1085
CC(NC(=O)c1c(N)nn2cccnc12)c1oc2cccc(C#Cc3cnn(C)c3)c2c(=O)c1-c1ccccc1,0,0.1800000000000006,P42336_P48736,80
CCN(CC)C(=O)c1cc(C(C)Nc2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,0,0.45999999999999996,P42336_P48736,82
Cc1nc(CCNC(=O)Nc2nc3ccc(-c4cncc(S(=O)(=O)NC(C)(C)C)c4)cn3n2)cs1,2,2.0,P42336_P48736,1088
COc1ccc2[nH]cc(C=C3Oc4cc(O)cc(O)c4C3=O)c2c1,0,0.9499999999999993,P42336_P48736,1690
CC(C)(C)c1cc(NC(=O)Nc2cccc(-c3csc4c(=O)cc(N5CCOCC5)oc34)c2)no1,0,0.96,P42336_P48736,83
CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(-c3ncc[nH]3)ccc1-2,0,0.8300000000000001,P42336_P48736,85
COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,0,0.7300000000000004,P42336_P48736,1090
Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccc(-n2cccn2)cc1,1,2.0200000000000005,P42336_P48736,1091
COc1ncc(-c2nc(N3CCOCC3)c3ncn(CCCCCCC(=O)NO)c3n2)cn1,0,0.71,P42336_P48736,86
c1cnc2c(N3CCOCC3)nc(-c3cccc4[nH]ncc34)nc2c1,0,0.79,P42336_P48736,87
CC(NC(=O)C1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1)C(N)=O,0,0.6200000000000001,P42336_P48736,89
CS(=O)(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,0,0.2999999999999998,P42336_P48736,93
CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,0,0.6999999999999993,P42336_P48736,95
Cc1nnc2n1C1CCN(Cc3cc4nc(-c5cccc6[nH]ccc56)nc(N5CCOCC5)c4s3)CC1CC2,0,0.35000000000000053,P42336_P48736,96
COc1ncc(-c2ccc3c(c2)COC3)cc1NS(C)(=O)=O,0,0.09999999999999964,P42336_P48736,101
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1,2,3.249999999999999,P42336_P48736,100
Cc1c(Cn2c(C)cn3c(=O)cc(N4CCOCC4)nc23)cccc1C(F)(F)F,0,0.2999999999999998,P42336_P48736,99
CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(Br)c2)s1,0,0.46999999999999975,P42336_P48736,102
O=c1cc(N2CCOCC2)oc2c(Br)csc12,0,0.3899999999999997,P42336_P48736,104
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4ccc(N)nc4)nc(N4CCOCC4)c3s2)CC1,0,0.7799999999999994,P42336_P48736,105
CC1CN(c2cc(=O)c3cc(C(=O)N(C)C)cc(C(C)Nc4cc(F)cc(F)c4)c3o2)CCO1,0,0.8300000000000001,P42336_P48736,107
OCc1cccc(-c2nc(N3CCOCC3)c3ncccc3n2)c1,0,0.46999999999999975,P42336_P48736,108
Cc1ccc(-c2ccc3nc(N)sc3c2)cn1,0,0.09999999999999964,P42336_P48736,109
COc1ncc(-c2cc(OC3CCN(C(=O)C4CC4)C3)cc3c2CNC3=O)cc1NS(C)(=O)=O,0,0.5300000000000002,P42336_P48736,110
Cc1ccc(S(=O)(=O)NCC(C)(C)O)cc1-c1cnc(N)c(-c2cn(C)nc2C)c1,0,0.6800000000000006,P42336_P48736,1691
O=S(=O)(Nc1cc(-c2ccc3nncc(-c4ccncc4)c3c2)cnc1Cl)c1ccccc1,0,0.5,P42336_P48736,112
CNC(=O)c1cncc(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)c1,0,0.22999999999999954,P42336_P48736,113
COc1ncc(-c2cc(OCCCCCCC(=O)NO)c3ncnc(C)c3c2)cc1F,0,0.20999999999999996,P42336_P48736,1692
Nc1ncc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c(C(F)(F)F)n1,0,0.96,P42336_P48736,114
CC(=O)N1CCN(c2cc(-c3cc(C(F)(F)F)c4c(N)ncnn34)ccc2C#N)C(=O)C1(C)C,0,0.9100000000000001,P42336_P48736,1693
CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCCCC2)cc2c(=O)cc(N3CCOCC3)oc12,0,0.2999999999999998,P42336_P48736,117
Cc1ccc(-c2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)nn1,0,0.8399999999999999,P42336_P48736,118
COc1ccc(Nc2ncc(N3CCN(C)CC3)cc2-c2nc(C)nc(N)n2)cn1,0,0.2699999999999996,P42336_P48736,119
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#CC=O)c2c(=O)n1-c1ccccc1,0,0.15000000000000036,P42336_P48736,120
CCC(N)C(=O)Nc1nc(C)c(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)s1,0,0.7999999999999998,P42336_P48736,1694
Oc1cncc(-c2nc(N3CCOCC3)c3[nH]cnc3n2)c1,0,0.6299999999999999,P42336_P48736,1695
